timestamp,junction_id,vehicle_count,avg_speed,temperature,rainfall_mm,event_flag
2025-07-01 00:00:00,J1,73.0,63.79,28.2,0.61,0
2025-07-01 01:00:00,J1,126.0,53.38,28.5,0.0,0
2025-07-01 02:00:00,J1,101.0,60.37,30.4,0.0,1
2025-07-01 03:00:00,J1,71.0,62.94,28.7,0.21,0
2025-07-01 04:00:00,J1,94.0,60.1,29.5,0.66,0
2025-07-01 05:00:00,J1,111.0,59.73,32.5,0.3,0
2025-07-01 06:00:00,J1,217.0,44.25,33.4,0.0,0
2025-07-01 07:00:00,J1,401.0,31.8,34.7,1.49,0
2025-07-01 08:00:00,J1,443.0,26.83,27.9,0.25,0
2025-07-01 09:00:00,J1,256.0,40.04,26.9,2.31,0
2025-07-01 10:00:00,J1,91.0,62.47,38.0,2.95,0
2025-07-01 11:00:00,J1,197.0,49.38,33.2,0.03,0
2025-07-01 12:00:00,J1,138.0,57.36,32.7,1.01,0
2025-07-01 13:00:00,J1,115.0,56.82,29.1,1.69,0
2025-07-01 14:00:00,J1,135.0,56.14,28.8,0.09,0
2025-07-01 15:00:00,J1,181.0,47.81,33.2,3.27,0
2025-07-01 16:00:00,J1,99.0,58.54,27.5,0.0,0
2025-07-01 17:00:00,J1,330.0,34.24,29.2,1.96,0
2025-07-01 18:00:00,J1,426.0,26.96,31.1,0.23,0
2025-07-01 19:00:00,J1,247.0,44.88,28.7,0.0,0
2025-07-01 20:00:00,J1,170.0,52.79,27.1,0.0,0
2025-07-01 21:00:00,J1,141.0,54.35,28.9,0.14,0
2025-07-01 22:00:00,J1,126.0,54.7,26.9,0.0,0
2025-07-01 23:00:00,J1,167.0,51.11,32.7,0.0,0
2025-07-02 00:00:00,J1,50.0,60.82,33.8,0.0,0
2025-07-02 01:00:00,J1,23.0,63.86,29.9,0.04,0
2025-07-02 02:00:00,J1,50.0,64.12,29.7,0.12,0
2025-07-02 03:00:00,J1,8.0,70.0,24.2,0.6,0
2025-07-02 04:00:00,J1,89.0,59.5,34.2,0.7,0
2025-07-02 05:00:00,J1,13.0,67.81,31.1,0.41,0
2025-07-02 06:00:00,J1,91.0,58.71,28.0,0.94,0
2025-07-02 07:00:00,J1,314.0,39.46,22.6,1.52,0
2025-07-02 08:00:00,J1,433.0,28.33,26.3,1.4,0
2025-07-02 09:00:00,J1,371.0,32.25,29.4,1.98,0
2025-07-02 10:00:00,J1,118.0,60.8,27.4,1.97,0
2025-07-02 11:00:00,J1,125.0,58.81,33.3,0.57,0
2025-07-02 12:00:00,J1,192.0,50.51,24.2,0.29,1
2025-07-02 13:00:00,J1,201.0,49.89,28.9,0.0,0
2025-07-02 14:00:00,J1,83.0,59.78,33.3,0.48,0
2025-07-02 15:00:00,J1,209.0,50.18,25.5,3.56,0
2025-07-02 16:00:00,J1,103.0,55.83,27.5,0.74,0
2025-07-02 17:00:00,J1,492.0,20.79,25.3,0.55,0
2025-07-02 18:00:00,J1,387.0,30.85,32.1,0.0,0
2025-07-02 19:00:00,J1,425.0,28.17,30.2,0.0,0
2025-07-02 20:00:00,J1,123.0,57.48,24.8,0.17,0
2025-07-02 21:00:00,J1,180.0,53.27,26.8,0.14,0
2025-07-02 22:00:00,J1,96.0,62.14,33.2,0.91,0
2025-07-02 23:00:00,J1,203.0,50.73,31.5,1.72,0
2025-07-03 00:00:00,J1,21.0,69.04,33.4,0.91,0
2025-07-03 01:00:00,J1,103.0,59.84,28.8,0.28,0
2025-07-03 02:00:00,J1,76.0,62.7,30.4,0.0,0
2025-07-03 03:00:00,J1,22.0,67.93,26.8,1.17,0
2025-07-03 04:00:00,J1,16.0,70.0,35.5,0.71,0
2025-07-03 05:00:00,J1,13.0,64.65,30.6,1.29,0
2025-07-03 06:00:00,J1,218.0,46.66,35.0,0.0,0
2025-07-03 07:00:00,J1,328.0,40.73,31.2,0.78,0
